  Epoch    Dlat    DLon    DHoriz  Dheight 
  496314  -0.289   1.776   1.799  11.253  
  496315  -0.086   1.717   1.720  11.091  
  496316  -0.133   1.607   1.613  10.809  
  496317  -0.104   1.575   1.579  10.883  
  496318  -0.263   1.440   1.463  10.768  
  496319  -0.394   1.413   1.467  10.825  
  496320  -0.579   1.508   1.615  11.245  
  496321  -0.579   1.518   1.625  11.323  
  496322  -0.563   1.611   1.707  11.375  
  496323  -0.537   1.716   1.798  11.605  
  496324  -0.359   1.523   1.565  10.963  
  496325  -0.330   1.460   1.497  10.702  
  496326  -0.124   1.094   1.101   9.949  
  496327  -0.331   1.457   1.494  10.647  
  496328  -0.338   1.491   1.529  10.623  
  496329  -0.283   1.536   1.562  10.837  
