  Epoch    Dlat    DLon    DHoriz  Dheight 
  496098   0.133  -0.496   0.513  -0.269  
  496099   0.132  -0.500   0.517  -0.271  
  496100   0.136  -0.494   0.512  -0.277  
  496101   0.137  -0.493   0.511  -0.277  
  496102   0.137  -0.491   0.509  -0.281  
  496103   0.136  -0.493   0.512  -0.272  
  496104   0.137  -0.497   0.516  -0.268  
  496105   0.141  -0.497   0.516  -0.266  
  496106   0.146  -0.501   0.522  -0.267  
  496107   0.144  -0.503   0.523  -0.267  
  496108   0.146  -0.511   0.531  -0.268  
  496109   0.140  -0.504   0.523  -0.261  
  496110   0.140  -0.505   0.524  -0.262  
  496111   0.140  -0.501   0.520  -0.259  
  496112   0.139  -0.499   0.518  -0.266  
  496113   0.141  -0.498   0.518  -0.260  
  496114   0.138  -0.499   0.518  -0.265  
  496115   0.139  -0.498   0.518  -0.267  
  496116   0.139  -0.503   0.522  -0.268  
  496117   0.136  -0.500   0.519  -0.261  
  496118   0.130  -0.504   0.521  -0.251  
  496119   0.140  -0.507   0.526  -0.249  
  496120   0.140  -0.507   0.526  -0.257  
  496121   0.142  -0.505   0.525  -0.258  
  496122   0.136  -0.505   0.523  -0.250  
  496123   0.132  -0.504   0.521  -0.251  
  496124   0.135  -0.505   0.523  -0.247  
  496125   0.138  -0.503   0.522  -0.252  
  496126   0.144  -0.506   0.526  -0.257  
  496127   0.144  -0.501   0.521  -0.263  
  496128   0.148  -0.497   0.519  -0.263  
  496129   0.139  -0.504   0.523  -0.250  
  496130   0.139  -0.498   0.517  -0.247  
  496131   0.140  -0.494   0.514  -0.243  
  496132   0.138  -0.500   0.518  -0.250  
  496133   0.141  -0.502   0.522  -0.255  
  496134   0.147  -0.500   0.522  -0.251  
  496135   0.146  -0.505   0.526  -0.254  
  496136   0.143  -0.503   0.523  -0.250  
  496137   0.145  -0.502   0.523  -0.246  
  496138   0.144  -0.501   0.521  -0.240  
  496139   0.141  -0.500   0.520  -0.255  
  496140   0.138  -0.501   0.519  -0.247  
  496141   0.136  -0.489   0.508  -0.250  
  496142   0.142  -0.494   0.514  -0.248  
  496143   0.144  -0.502   0.522  -0.252  
  496144   0.147  -0.504   0.524  -0.252  
  496145   0.152  -0.505   0.527  -0.250  
  496146   0.148  -0.510   0.531  -0.243  
  496147   0.146  -0.510   0.531  -0.247  
  496148   0.146  -0.515   0.535  -0.247  
  496149   0.142  -0.516   0.535  -0.239  
  496150   0.147  -0.515   0.535  -0.243  
  496151   0.146  -0.514   0.534  -0.252  
  496152   0.146  -0.513   0.533  -0.252  
  496153   0.150  -0.510   0.532  -0.244  
  496154   0.153  -0.511   0.533  -0.246  
  496155   0.153  -0.513   0.535  -0.251  
  496156   0.155  -0.506   0.530  -0.249  
  496157   0.148  -0.509   0.530  -0.248  
  496158   0.149  -0.510   0.531  -0.251  
  496159   0.151  -0.509   0.531  -0.258  
  496160   0.151  -0.508   0.530  -0.261  
  496161   0.149  -0.509   0.530  -0.259  
  496162   0.146  -0.507   0.528  -0.269  
  496163   0.149  -0.502   0.523  -0.273  
  496164   0.148  -0.499   0.521  -0.268  
  496165   0.148  -0.498   0.520  -0.278  
  496166   0.151  -0.501   0.524  -0.274  
  496167   0.157  -0.503   0.527  -0.281  
  496168   0.157  -0.503   0.527  -0.280  
  496169   0.154  -0.499   0.522  -0.273  
  496170   0.147  -0.502   0.524  -0.274  
  496171   0.147  -0.506   0.527  -0.271  
  496172   0.151  -0.504   0.526  -0.275  
  496173   0.150  -0.505   0.527  -0.272  
  496174   0.151  -0.501   0.523  -0.266  
  496175   0.152  -0.502   0.524  -0.272  
  496176   0.152  -0.503   0.525  -0.264  
  496177   0.152  -0.502   0.524  -0.262  
  496178   0.153  -0.504   0.526  -0.265  
