Epoch   v_north   v_east   v_up
  496732          -0.001           0.002           0.003
  496733           0.002           0.002           0.007
  496734           0.001          -0.001          -0.002
  496735          -0.008          -0.007          -0.006
  496736          -0.004          -0.011          -0.012
  496737           0.001          -0.007          -0.017
  496738           0.007          -0.007          -0.011
  496739           0.009          -0.003           0.007
  496740          -0.011           0.005           0.011
  496741           0.001           0.002           0.000
  496742          -0.001          -0.004          -0.007
  496743          -0.006          -0.005          -0.006
  496744           0.002          -0.001           0.000
  496745           0.001          -0.005          -0.007
  496746           0.009          -0.009           0.001
  496747          -0.002          -0.004          -0.011
  496748          -0.009           0.000           0.003
  496749          -0.002           0.006          -0.001
  496750          -0.008           0.012           0.010
  496751          -0.011           0.005          -0.007
  496752          -0.004          -0.004          -0.009
  496753          -0.004          -0.002          -0.017
  496754          -0.003           0.008          -0.003
  496755          -0.004           0.009          -0.012
  496756           0.003           0.016           0.002
  496757           0.000           0.015           0.004
  496758          -0.003           0.012           0.014
  496759          -0.002           0.006           0.008
  496760          -0.007           0.009           0.012
  496761           0.001           0.009           0.011
  496762          -0.010           0.005           0.006
  496763          -0.007           0.002          -0.003
  496764          -0.004           0.007           0.013
  496765          -0.009          -0.001           0.000
  496766           0.000           0.002          -0.003
  496767           0.008           0.009           0.006
  496768           0.001           0.009           0.000
  496769          -0.003           0.005           0.001
  496770          -0.004           0.002          -0.003
  496771          -0.001           0.002          -0.013
  496772          -0.002           0.001           0.001
  496773           0.000           0.011           0.005
  496774           0.003           0.016           0.018
  496775          -0.003           0.014           0.012
  496776          -0.006           0.000           0.000
  496777          -0.002           0.006           0.003
  496778           0.006           0.005           0.001
  496779          -0.003           0.010           0.018
  496780          -0.009           0.006           0.011
  496781          -0.004           0.009           0.003
  496782           0.002          -0.002           0.003
  496783           0.003          -0.008          -0.015
  496784           0.007          -0.009          -0.016
  496785           0.001           0.000           0.004
  496786          -0.009           0.007           0.005
  496787           0.000           0.003           0.002
  496788           0.001           0.010           0.002
  496789          -0.004           0.008           0.001
  496790           0.000           0.006           0.010
  496791          -0.003           0.009           0.005
  496792          -0.003           0.012           0.003
  496793           0.006           0.005           0.017
  496794           0.006           0.002           0.014
  496795          -0.006           0.004           0.013
  496796           0.000          -0.007           0.001
  496797          -0.002          -0.012          -0.015
  496798          -0.007          -0.010          -0.005
  496799           0.007          -0.019          -0.022
  496800          -0.003          -0.014          -0.023
  496801          -0.016          -0.005          -0.002
  496802          -0.013           0.008           0.008
  496803           0.002           0.009           0.002
  496804           0.002          -0.003          -0.007
  496805           0.000          -0.015          -0.025
  496806          -0.002          -0.018          -0.018
  496807           0.008          -0.008          -0.004
  496808           0.002          -0.005          -0.014
  496809           0.000          -0.003          -0.014
  496810           0.001          -0.005          -0.010
  496811           0.003          -0.009          -0.025
  496812          -0.006          -0.001          -0.008
  496813          -0.012           0.019           0.030
  496814           0.003          -0.009          -0.007
  496815          -0.002          -0.015          -0.014
  496816          -0.003          -0.010          -0.015
  496817          -0.002          -0.017          -0.027
  496818          -0.010          -0.005          -0.024
