Epoch   v_north   v_east   v_up
  496672          -0.008          -0.002          -0.001
  496673          -0.011          -0.004           0.002
  496674           0.009          -0.009          -0.021
  496675          -0.011           0.003           0.003
  496676          -0.004           0.010           0.023
  496677          -0.011           0.005           0.006
  496678           0.004           0.005           0.002
  496679           0.001           0.007           0.012
  496680           0.012           0.010           0.004
  496681           0.000          -0.005          -0.022
  496682           0.005          -0.007          -0.023
  496683           0.011           0.000           0.014
  496684           0.002           0.000           0.007
  496685           0.006           0.004          -0.014
  496686           0.003          -0.008          -0.013
  496687          -0.008           0.003          -0.014
  496688          -0.004           0.004          -0.009
  496689          -0.006           0.000          -0.009
  496690           0.003          -0.001          -0.010
  496691           0.013           0.001           0.006
  496692           0.006          -0.009          -0.028
  496693           0.001          -0.000          -0.006
  496694          -0.005           0.001          -0.006
  496695          -0.011           0.008           0.007
  496696          -0.012          -0.001          -0.003
  496697           0.015          -0.023          -0.066
  496698          -0.011           0.009           0.000
  496699          -0.019           0.024           0.029
  496700          -0.012           0.017           0.006
  496701          -0.005           0.010           0.007
  496702           0.002           0.005           0.003
  496703          -0.005           0.000          -0.010
  496704           0.012           0.007          -0.002
  496705          -0.003           0.010           0.027
  496706          -0.004           0.003           0.007
  496707          -0.002           0.009           0.029
  496708           0.001          -0.008          -0.014
  496709          -0.007           0.008           0.017
  496710           0.002          -0.004          -0.013
  496711           0.003          -0.011          -0.033
  496712           0.001          -0.003          -0.002
  496713          -0.002           0.005           0.000
  496714           0.000          -0.001           0.016
  496715           0.009          -0.005          -0.009
  496716           0.008          -0.006          -0.013
  496717           0.000           0.014           0.036
  496718          -0.011          -0.002          -0.014
  496719          -0.001          -0.003          -0.019
  496720           0.004          -0.002           0.004
  496721          -0.002           0.002           0.010
  496722           0.003          -0.001           0.010
  496723           0.002          -0.001          -0.012
  496724          -0.004          -0.002          -0.005
  496725          -0.002           0.005           0.006
  496726           0.006           0.014          -0.001
  496727           0.007           0.021           0.027
  496728           0.002           0.000           0.013
  496729          -0.002           0.009          -0.001
  496730           0.010          -0.009          -0.028
  496731           0.002           0.008           0.024
  496732          -0.003           0.002           0.012
  496733          -0.003          -0.001          -0.010
  496734          -0.005           0.004           0.019
  496735           0.009           0.003          -0.014
  496736           0.006           0.008           0.005
  496737          -0.006           0.014           0.052
  496738          -0.007           0.007          -0.001
  496739          -0.010           0.007           0.004
  496740           0.011          -0.004          -0.010
  496741           0.001          -0.004          -0.020
  496742          -0.002           0.010           0.010
  496743           0.011           0.004           0.008
  496744           0.000          -0.005          -0.005
  496745          -0.005           0.002          -0.002
  496746          -0.004           0.008          -0.010
  496747           0.002           0.001           0.002
  496748           0.008           0.002           0.000
  496749           0.000          -0.002           0.018
  496750           0.002          -0.007           0.010
  496751           0.012          -0.008          -0.003
  496752           0.005           0.005           0.020
  496753           0.003           0.004           0.023
  496754           0.004          -0.008          -0.002
  496755           0.010          -0.010           0.016
  496756          -0.010          -0.013           0.002
  496757           0.003          -0.015          -0.003
  496758           0.000          -0.012          -0.015
  496759          -0.014           0.007           0.022
  496760           0.017          -0.015          -0.027
  496761          -0.002          -0.008          -0.012
  496762           0.009          -0.007          -0.009
  496763           0.004          -0.001           0.008
  496764           0.005          -0.009          -0.015
  496765           0.004           0.001           0.002
  496766           0.004          -0.001           0.003
  496767          -0.007          -0.008          -0.013
  496768           0.001          -0.005           0.011
  496769           0.000          -0.004           0.006
  496770           0.003           0.000           0.004
  496771           0.003           0.000           0.027
  496772           0.002          -0.003          -0.010
  496773           0.002          -0.011           0.003
  496774          -0.007          -0.015          -0.025
  496775           0.001          -0.011          -0.003
  496776           0.006          -0.000          -0.007
  496777           0.001          -0.008          -0.002
  496778          -0.006          -0.005           0.006
  496779           0.003          -0.010          -0.022
  496780           0.009          -0.004          -0.005
  496781           0.005          -0.004           0.007
  496782          -0.001           0.001          -0.008
  496783          -0.004           0.007           0.010
  496784          -0.006           0.007           0.014
  496785          -0.006           0.005           0.003
  496786           0.007          -0.008          -0.006
  496787           0.001          -0.005          -0.003
  496788           0.002          -0.008          -0.006
  496789           0.005          -0.009          -0.001
  496790           0.000          -0.004          -0.007
  496791           0.005          -0.006           0.006
  496792           0.004          -0.013          -0.007
  496793          -0.008          -0.010          -0.028
  496794          -0.007          -0.002          -0.018
  496795           0.009          -0.004          -0.013
  496796          -0.000           0.005           0.000
  496797           0.002           0.014           0.017
  496798           0.005           0.009           0.002
  496799          -0.007           0.024           0.030
  496800           0.010           0.011           0.021
  496801           0.015           0.002           0.005
  496802           0.012          -0.007          -0.016
  496803          -0.003          -0.008           0.002
  496804           0.002           0.005           0.011
  496805          -0.002           0.013           0.021
  496806           0.001           0.016           0.014
  496807          -0.009           0.006          -0.005
  496808           0.005           0.005           0.025
  496809          -0.004           0.005           0.017
  496810          -0.005           0.009           0.009
  496811          -0.001           0.009           0.019
  496812           0.010          -0.003           0.008
  496813           0.013          -0.020          -0.028
  496814           0.000           0.010           0.010
  496815           0.001           0.013           0.003
  496816           0.002           0.010           0.017
  496817           0.001           0.019           0.034
  496818           0.015           0.003           0.020
  496819           0.000           0.006           0.040
  496820          -0.002           0.001           0.021
  496821           0.004          -0.004           0.013
